,0
0,AARD
1,AQP1
2,ASGR2
3,ASIC4
4,ATP7B
5,BEAN1
6,BMP2
7,BSPRY
8,C4orf26
9,C9orf135-AS1
10,CA1
11,CARM1P1
12,CBLN1
13,CCDC68
14,CCNJL
15,CD27-AS1
16,CD74
17,CDH3
18,CDK20
19,CFTR
20,CHRFAM7A
21,CHRNA2
22,CLIC6
23,COL15A1
24,COL20A1
25,COL4A3
26,COLEC12
27,CRABP1
28,CRHR2
29,CSN1S1
30,DEFB108B
31,DNAJC14
32,DSG3
33,ENPEP
34,ENPP6
35,EXPH5
36,FAM150B
37,FAM20A
38,FBN2
39,FEZF2
40,FFAR4
41,FGF10
42,FGFR3
43,FILIP1L
44,FNDC1
45,FREM2
46,FRZB
47,FTH1P3
48,GAPDHP60
49,GGTLC3
50,GLRA3
51,HHIPL1
52,HS3ST3A1
53,HSPB6
54,HTR3A
55,IFNG-AS1
56,IGDCC3
57,ISG20
58,ISX
59,KCNG3
60,KCNIP2
61,KLHDC8B
62,KLHL1
63,KLK7
64,LAMA4
65,LAMP5
66,LDLRAP1
67,LINC00343
68,LINC00507
69,LINC01013
70,LINC01107
71,LINC01116
72,LINC01202
73,LINC01497
74,LNX2
75,LPO
76,LRIG3
77,MAP6D1
78,MED8
79,MEPE
80,MIR101-1
81,NES
82,NMBR
83,NMU
84,NOSTRIN
85,NPY
86,NREP-AS1
87,OPALIN
88,OR1L8
89,OR5AH1P
90,OTOGL
91,P4HA3
92,PAWR
93,PAX6
94,PDGFRA
95,PDYN
96,PHLDB3
97,PIK3CD
98,PKD2L1
99,PLCG1
100,POGK
101,PROKR2
102,PRRT4
103,PTGER3
104,PTPN3
105,PVALB
106,PVRL2
107,RAB11FIP1
108,RGPD6
109,RNF144A-AS1
110,RORB
111,RPH3AL
112,RPL35AP11
113,RPRM
114,RTKN2
115,SAMD13
116,SCML4
117,SERPINI2
118,SH2D1B
119,SLC22A18
120,SLC6A16
121,SLC7A6OS
122,SLN
123,SMOC1
124,SMYD1
125,SNTG2
126,SOX11
127,SRGN
128,SST
129,TAC3
130,TH
131,THEMIS
132,TNFAIP6
133,TNNT2
134,TYROBP
135,UG0898H09
136,VILL
137,VIP
138,WNT4
139,ZFPM2-AS1
140,ZIM2-AS1
